2023-03-07T03:16:36.743Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.942Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.050Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.244Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.342Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.445Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.543Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.642Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.744Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.845Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:37.945Z [ 0.070106, 49.2308 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.042Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.145Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.244Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.345Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.445Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.548Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.645Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.745Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.847Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:38.943Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:39.046Z [ 0.070105, 18.2981 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.167Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.245Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.347Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.458Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.546Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.648Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.743Z [ 0.070105, 37.8019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.843Z [ 0.070105, 42.1709 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:39.943Z [ 0.070105, 42.1709 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.045Z [ 0.070105, 42.1709 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.144Z [ 0.070105, 42.1709 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.248Z [ 0.070105, 42.1709 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.346Z [ 0.070105, 42.1709 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.448Z [ 0.070105, 50.7019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.544Z [ 0.070105, 50.7019 ] [ 0.070104, 0.002 ]
2023-03-07T03:16:40.646Z [ 0.070105, 45.2001 ] [ 0.070104, 4.7486 ]
2023-03-07T03:16:40.747Z [ 0.070105, 49.8271 ] [ 0.070104, 4.7486 ]
2023-03-07T03:16:40.845Z [ 0.070105, 49.7613 ] [ 0.070104, 4.6616 ]
2023-03-07T03:16:40.944Z [ 0.070105, 54.5894 ] [ 0.070104, 4.6616 ]
2023-03-07T03:16:41.049Z [ 0.070105, 49.7613 ] [ 0.070104, 4.6616 ]
2023-03-07T03:16:41.251Z [ 0.070105, 54.9821 ] [ 0.070104, 4.6616 ]
2023-03-07T03:16:41.446Z [ 0.070105, 49.7613 ] [ 0.070104, 4.6616 ]
2023-03-07T03:16:41.985Z [ 0.070105, 49.7613 ] [ 0.070104, 4.6616 ]
2023-03-07T03:16:41.986Z [ 0.070105, 54.5336 ] [ 0.070104, 14.3958 ]
2023-03-07T03:16:41.986Z [ 0.070105, 51.3336 ] [ 0.070104, 14.3958 ]
2023-03-07T03:16:42.044Z [ 0.070105, 54.5336 ] [ 0.070104, 16.434 ]
2023-03-07T03:16:42.252Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:42.346Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:42.447Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:42.545Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:42.757Z [ 0.070105, 40.5336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:43.522Z [ 0.070105, 40.5336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:43.545Z [ 0.070105, 40.5336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:43.663Z [ 0.070105, 40.5336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:43.755Z [ 0.070105, 40.5336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:43.848Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:44.049Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:44.147Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:44.245Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:44.348Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:44.450Z [ 0.070105, 37.3336 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:44.546Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:44.650Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:44.751Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:45.348Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:45.980Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:45.980Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:46.049Z [ 0.070105, 34.1781 ] [ 0.070104, 39.6126 ]
2023-03-07T03:16:46.148Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:46.900Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:46.951Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:47.049Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:47.533Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:47.550Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:47.854Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:47.949Z [ 0.070105, 34.1781 ] [ 0.070104, 43.0566 ]
2023-03-07T03:16:48.050Z [ 0.070105, 34.1781 ] [ 0.070104, 41.1799 ]
2023-03-07T03:16:48.250Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.356Z [ 0.070105, 34.1781 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.452Z [ 0.070105, 31.4591 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.551Z [ 0.070105, 31.4591 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.654Z [ 0.070105, 31.4591 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.751Z [ 0.070105, 31.4591 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.851Z [ 0.070105, 31.4591 ] [ 0.070104, 37.9799 ]
2023-03-07T03:16:48.948Z [ 0.070105, 31.4591 ] [ 0.070104, 39.6127 ]
2023-03-07T03:16:49.150Z [ 0.070105, 31.4591 ] [ 0.070104, 39.6127 ]
2023-03-07T03:16:49.665Z [ 0.070105, 31.4591 ] [ 0.070104, 39.6127 ]
2023-03-07T03:16:49.675Z [ 0.070105, 31.4591 ] [ 0.070104, 39.6127 ]
2023-03-07T03:16:49.676Z [ 0.070105, 32.5237 ] [ 0.070104, 39.6127 ]
2023-03-07T03:16:49.859Z [ 0.070105, 32.5237 ] [ 0.070104, 42.8127 ]
2023-03-07T03:16:49.949Z [ 0.070105, 32.5237 ] [ 0.070104, 42.8127 ]
2023-03-07T03:16:50.054Z [ 0.070105, 32.5237 ] [ 0.070104, 42.8127 ]
2023-03-07T03:16:50.253Z [ 0.070105, 32.5237 ] [ 0.070104, 42.8127 ]
2023-03-07T03:16:50.351Z [ 0.070105, 32.5237 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:50.451Z [ 0.070105, 32.5237 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:50.550Z [ 0.070105, 32.5237 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:50.851Z [ 0.070105, 32.5237 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:50.955Z [ 0.070105, 32.5237 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:51.149Z [ 0.070105, 32.5237 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:51.265Z [ 0.070105, 32.27 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:52.123Z [ 0.070105, 32.27 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:52.152Z [ 0.070105, 32.27 ] [ 0.070104, 43.0325 ]
2023-03-07T03:16:52.350Z [ 0.070105, 32.27 ] [ 0.070104, 39.8325 ]
2023-03-07T03:16:52.450Z [ 0.070105, 32.27 ] [ 0.070104, 39.8325 ]
2023-03-07T03:16:53.044Z [ 0.070105, 31.2054 ] [ 0.070104, 39.8325 ]
2023-03-07T03:16:53.352Z [ 0.070105, 31.2054 ] [ 0.070104, 39.8325 ]
2023-03-07T03:16:53.455Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:53.550Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:53.652Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:54.275Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:54.276Z [ 0.070105, 31.2054 ] [ 0.070104, 39.8319 ]
2023-03-07T03:16:54.276Z [ 0.070105, 31.2054 ] [ 0.070104, 39.8319 ]
